,Time,Stock_code,Market_subtype,Market_subtype2,Price,Size,Broker Code,Broker Code2,Order_ID,Order_ID2,MBO_TIME_RT
0,"""09:40:43.2858""",2660,BID,ASK,1.29,4000.0,Unknown,Unknown,"""33303732383131353420""","""33303732373139333820""","""2021-08-12T09:40:43.129+08:00"""
1,"""10:04:44.1506""",2660,ASK,,1.28,16000.0,Unknown,,"""37323336343837373020""",,"""2021-08-12T10:04:43.987+08:00"""
2,"""10:54:23.4532""",2660,BID,,1.27,24000.0,"""4821""",,"""31383433333238322020""",,"""2021-08-12T10:54:23.270+08:00"""
3,"""10:54:23.4532""",2660,ASK,,1.27,6000.0,Unknown,,"""31333832373433353534""",,"""2021-08-12T10:54:23.270+08:00"""
4,"""11:11:44.2889""",2660,ASK,,1.27,10000.0,Unknown,,"""31353530303834333534""",,"""2021-08-12T11:11:44.105+08:00"""
5,"""11:29:58.5669""",2660,BID,ASK,1.27,10000.0,"""1799""",Unknown,"""36313930343839363220""","""31363734313536323930""","""2021-08-12T11:29:58.373+08:00"""
6,"""11:43:50.3995""",2660,BID,,1.27,2000.0,"""2244""",,"""31353135313033323334""",,"""2021-08-12T11:43:50.204+08:00"""
7,"""13:18:01.1846""",2660,BID,,1.26,66000.0,"""1978""",,"""38353939303620202020""",,"""2021-08-12T13:18:01.000+08:00"""
8,"""13:18:01.1846""",2660,BID,,1.26,20000.0,"""2245""",,"""36393533323138202020""",,"""2021-08-12T13:18:01.000+08:00"""
9,"""13:18:01.1856""",2660,ASK,,1.26,14000.0,Unknown,,"""31393239353236323734""",,"""2021-08-12T13:18:01.000+08:00"""
10,"""13:18:01.1856""",2660,ASK,,1.26,4000.0,Unknown,,"""31393239353236353330""",,"""2021-08-12T13:18:01.001+08:00"""
11,"""13:21:24.4594""",2660,BID,,1.26,2000.0,"""2310""",,"""31363639383337302020""",,"""2021-08-12T13:21:24.277+08:00"""
12,"""13:21:24.4604""",2660,ASK,,1.26,6000.0,Unknown,,"""31393532323035383236""",,"""2021-08-12T13:21:24.277+08:00"""
13,"""13:51:30.9752""",2660,BID,ASK,1.26,10000.0,"""8167""",Unknown,"""32313233323438363432""","""32313537363638363130""","""2021-08-12T13:51:30.815+08:00"""
14,"""13:58:21.0329""",2660,BID,,1.26,2000.0,"""8304""",,"""32313930363430363432""",,"""2021-08-12T13:58:20.876+08:00"""
15,"""14:07:31.0165""",2660,ASK,,1.26,8000.0,"""7126""",,"""32323033333637313730""",,"""2021-08-12T14:07:30.856+08:00"""
16,"""14:51:57.3151""",2660,ASK,,1.27,4000.0,"""2074""",,"""31393539313731333330""",,"""2021-08-12T14:51:57.178+08:00"""
17,"""15:02:51.6135""",2660,BID,,1.27,4000.0,"""6721""",,"""32353035333330393436""",,"""2021-08-12T15:02:51.481+08:00"""
18,"""15:25:24.3154""",2660,BID,,1.26,2000.0,"""7292""",,"""32323535313531313036""",,"""2021-08-12T15:25:24.185+08:00"""
19,"""15:25:24.3164""",2660,BID,,1.26,2000.0,"""1978""",,"""32333039313937333134""",,"""2021-08-12T15:25:24.185+08:00"""
20,"""15:25:24.3164""",2660,BID,,1.26,4000.0,"""4821""",,"""32323639313637333632""",,"""2021-08-12T15:25:24.185+08:00"""
23,"""15:25:24.3164""",2660,BID,,1.26,10000.0,"""4665""",,"""32343030373435393836""",,"""2021-08-12T15:25:24.185+08:00"""
24,"""15:25:24.3173""",2660,ASK,,1.26,82000.0,Unknown,,"""32373031393136343138""",,"""2021-08-12T15:25:24.185+08:00"""
25,"""15:25:26.3683""",2660,ASK,,1.26,100000.0,Unknown,,"""32373032303635343130""",,"""2021-08-12T15:25:26.239+08:00"""
26,"""15:31:02.3974""",2660,ASK,,1.26,6000.0,Unknown,,"""32373430333236313436""",,"""2021-08-12T15:31:02.269+08:00"""
