,Broker Code,Bid Size,Ask Size
0,Futu Securities International (Hong Kong) Limited,2000,0
1,Futu Securities International (Hong Kong) Limited,2000,0
2,Po Sang Securities and Futures Limited,4000,0
3,Hafoo Securities Limited,68000,0
4,Bright Smart Securities International (H.K.) Limited,10000,0
5,Lego Securities Limited,2000,0
6,BOCI Securities Limited,10000,0
7,Barclays Capital Asia Limited,0,4000
8,Unknown,4000,268000
9,Hang Seng Securities Limited,2000,0
10,Futu Securities International (Hong Kong) Limited,20000,0
11,UOB Kay Hian (Hong Kong) Limited,0,8000
12,Chief Securities Limited,10000,0
13,Valuable Capital Limited,28000,0
