,time,type,value,size,conditionCodes
0,7/3/2023 09:04:50.855,TRADE,0.475,2000,IE
1,7/3/2023 09:20:03.956,TRADE,0.475,2000,U
2,7/3/2023 09:31:03.704,TRADE,0.475,2000,
3,7/3/2023 09:31:11.483,TRADE,0.475,1000,
4,7/3/2023 09:31:18.172,TRADE,0.475,2000,
5,7/3/2023 09:31:30.791,TRADE,0.475,2000,
6,7/3/2023 09:37:14.128,TRADE,0.47,6000,
7,7/3/2023 09:37:14.128,TRADE,0.47,4000,
8,7/3/2023 09:37:14.128,TRADE,0.475,3000,
9,7/3/2023 09:37:17.762,TRADE,0.475,3000,
10,7/3/2023 09:37:22.925,TRADE,0.475,2000,
11,7/3/2023 09:37:22.926,TRADE,0.475,1000,
12,7/3/2023 09:37:59.190,TRADE,0.475,6000,
13,7/3/2023 09:37:59.190,TRADE,0.475,30000,
14,7/3/2023 09:39:01.518,TRADE,0.47,100000,
15,7/3/2023 09:39:37.919,TRADE,0.48,2000,
16,7/3/2023 09:39:47.903,TRADE,0.48,2000,
17,7/3/2023 09:39:59.554,TRADE,0.48,2000,
18,7/3/2023 09:40:08.665,TRADE,0.48,3000,
19,7/3/2023 09:40:08.665,TRADE,0.48,2000,
20,7/3/2023 09:40:10.818,TRADE,0.48,3000,
21,7/3/2023 09:40:18.086,TRADE,0.475,1000,
22,7/3/2023 09:40:27.053,TRADE,0.475,1000,
23,7/3/2023 09:40:33.056,TRADE,0.475,1000,
24,7/3/2023 09:40:45.608,TRADE,0.48,2000,
25,7/3/2023 09:40:55.154,TRADE,0.48,2000,
26,7/3/2023 09:43:01.208,TRADE,0.48,20000,
27,7/3/2023 09:43:30.314,TRADE,0.48,3000,
28,7/3/2023 09:52:43.216,TRADE,0.48,2000,
29,7/3/2023 10:01:04.045,TRADE,0.48,4000,
30,7/3/2023 10:01:04.045,TRADE,0.48,1000,
31,7/3/2023 10:01:14.145,TRADE,0.48,3000,
32,7/3/2023 10:01:20.845,TRADE,0.485,1000,
33,7/3/2023 10:01:47.349,TRADE,0.48,1000,
34,7/3/2023 10:02:27.053,TRADE,0.475,1000,
35,7/3/2023 10:08:25.325,TRADE,0.48,1000,
36,7/3/2023 10:15:56.493,TRADE,0.475,5000,
37,7/3/2023 10:15:56.493,TRADE,0.475,30000,
38,7/3/2023 10:15:56.493,TRADE,0.475,13000,
39,7/3/2023 10:16:15.091,TRADE,0.475,1000,
40,7/3/2023 10:17:15.098,TRADE,0.475,1000,
41,7/3/2023 10:17:36.053,TRADE,0.475,1000,
42,7/3/2023 10:17:57.085,TRADE,0.475,1000,
43,7/3/2023 10:26:24.720,TRADE,0.48,1000,
44,7/3/2023 10:26:30.529,TRADE,0.48,1000,
45,7/3/2023 10:29:21.310,TRADE,0.475,13000,
46,7/3/2023 10:29:21.310,TRADE,0.47,7000,
47,7/3/2023 10:39:19.393,TRADE,0.48,2000,
48,7/3/2023 10:55:26.908,TRADE,0.475,10000,
49,7/3/2023 10:55:30.861,TRADE,0.48,2000,
50,7/3/2023 10:55:36.249,TRADE,0.48,2000,
51,7/3/2023 10:56:12.069,TRADE,0.475,1000,
52,7/3/2023 11:12:27.439,TRADE,0.48,1000,
53,7/3/2023 11:43:02.208,TRADE,0.48,1000,
54,7/3/2023 13:16:56.796,TRADE,0.48,1000,
55,7/3/2023 13:17:07.969,TRADE,0.48,1000,
